,date,open,close,high,low,volume,amount,amplitude,flucrange,flucamount,turnoverrate,Date,SMA,SD,Upper_band,RSI,M12
69,2010-04-19,3313.5,3176.42,3313.5,3175.44,88416300,118855971989.0,4.11,-5.36,-179.91,0.29,2010-04-19,3341.0695,64.59279310255393,3470.255086205108,31.463990554899652,-0.0505707479353541
70,2010-04-20,3176.41,3173.37,3196.65,3130.96,64137859,88005965691.0,2.07,-0.1,-3.05,0.21,2010-04-20,3334.6065000000003,74.36838223720355,3483.3432644744075,30.11478175011314,-0.06443805020135973
71,2010-04-21,3178.88,3236.68,3237.54,3164.76,66928331,93373377791.0,2.29,2.0,63.31,0.22,2010-04-21,3332.6620000000003,76.47192079105605,3485.6058415821126,39.69149238194377,-0.05008877866964068
72,2010-04-22,3222.68,3201.54,3231.99,3177.73,71081688,98970386343.0,1.68,-1.09,-35.14,0.23,2010-04-22,3328.9055,81.07397132281419,3491.0534426456284,31.59177043854899,-0.05979472269944064
73,2010-04-23,3198.78,3190.0,3224.74,3172.58,61252679,92115669956.0,1.63,-0.36,-11.54,0.2,2010-04-23,3326.9489999999996,84.02688084303968,3495.002761686079,28.827758187379487,-0.05814966267585875
74,2010-04-26,3195.46,3172.0,3207.72,3168.37,50894199,74959121055.0,1.23,-0.56,-18.0,0.17,2010-04-26,3321.799,90.3006269664069,3502.400253932814,27.96688654104217,-0.05221200332263631
75,2010-04-27,3163.1,3108.41,3163.1,3060.85,65296574,88058360562.0,3.22,-2.0,-63.59,0.21,2010-04-27,3309.2924999999996,101.56319649801588,3512.4188929960314,25.757206517198185,-0.0801261848323701
76,2010-04-28,3080.32,3097.35,3122.11,3062.08,45995406,65484924588.0,1.93,-0.36,-11.06,0.15,2010-04-28,3295.8244999999997,110.97218435147019,3517.76886870294,27.134028936607223,-0.07582620215546565
77,2010-04-29,3114.94,3060.06,3130.7,3059.8,48260971,69250868103.0,2.29,-1.2,-37.29,0.16,2010-04-29,3281.547,122.04637850553215,3525.6397570110644,21.000018175539353,-0.09778519453256751
78,2010-04-30,3060.12,3067.36,3068.13,3014.07,54477881,73190884013.0,1.77,0.24,7.3,0.18,2010-04-30,3265.318,128.02814232569432,3521.3742846513887,23.18610796526994,-0.09881864201121715
79,2010-05-04,3005.49,3019.45,3056.08,2994.92,41248610,54558607131.0,1.99,-1.56,-47.91,0.13,2010-05-04,3245.923,134.59247715350068,3515.107954307001,15.368299626025689,-0.11050589618125428
80,2010-05-05,2981.78,3036.39,3036.86,2943.36,59670441,80835340414.0,3.1,0.56,16.94,0.2,2010-05-05,3227.485,136.8708970834226,3501.226794166845,16.140629032852786,-0.09532435725926836
81,2010-05-06,3014.91,2896.86,3014.91,2895.39,58770413,81502262034.0,3.94,-4.6,-139.53,0.19,2010-05-06,3202.9805,150.05500761475096,3503.090515229502,13.012588992434743,-0.08801103128679455
82,2010-05-07,2835.88,2836.79,2892.53,2817.15,61119399,79147499714.0,2.6,-2.07,-60.07,0.2,2010-05-07,3177.4829999999997,166.73960777527475,3510.9622155505494,12.603650811931374,-0.10606390052215786
83,2010-05-10,2842.37,2858.23,2872.31,2798.52,50209173,64909188147.0,2.6,0.76,21.44,0.16,2010-05-10,3151.436,174.10156549977808,3499.639130999556,20.32750806647148,-0.11692536796964781
84,2010-05-11,2916.33,2800.82,2922.12,2790.7,58363490,73894666754.0,4.6,-2.01,-57.41,0.19,2010-05-11,3123.903,184.05782884448902,3492.018657688978,18.45630196603055,-0.125164764457105
85,2010-05-12,2781.71,2818.16,2832.15,2756.42,53002271,64693988243.0,2.7,0.62,17.34,0.17,2010-05-12,3095.225,184.8146561885857,3464.8543123771715,11.572645805788156,-0.11656426332288405
86,2010-05-13,2818.58,2886.91,2886.97,2811.66,55145778,67486536614.0,2.67,2.44,68.75,0.18,2010-05-13,3069.3849999999998,175.29684863711944,3419.9786972742386,22.790874656242963,-0.0898770491803279
87,2010-05-14,2865.58,2868.02,2888.09,2849.24,42498719,55175291043.0,1.35,-0.65,-18.89,0.14,2010-05-14,3043.0575,162.99669863866936,3369.0508972773387,22.504782074053836,-0.07733535794827573
88,2010-05-17,2828.88,2714.72,2828.88,2712.44,52166847,62395513473.0,4.06,-5.35,-153.3,0.17,2010-05-17,3010.977,161.22446539889006,3333.42593079778,18.280569351571827,-0.12353463444557444
89,2010-05-18,2711.41,2771.35,2781.84,2686.97,54509671,62746245805.0,3.49,2.09,56.63,0.18,2010-05-18,2990.7235,164.75162554185692,3320.2267510837137,26.391729470764588,-0.09434782324529589
90,2010-05-19,2748.95,2762.17,2803.7,2723.3,45576221,54656401336.0,2.9,-0.33,-9.18,0.15,2010-05-19,2970.1635,166.4081144679837,3302.9797289359676,26.461417455546524,-0.09949598351677014
