,date,close,open,high,low,flucamount,amplitude,turnoverrate,rv,rv_w,rv_m,SMA,SD,Upper_band,Lower_Band,RSI,M12,High-Low,High-Close Prev,Low-Close Prev,True Range,ATR
53,2024-01-16,3300.88,3272.57,3300.88,3260.44,19.96,1.23,0.3661,0.00834362,0.006353916,0.005358027,3330.6014999999998,44.32439120310986,3419.2502824062194,3241.95271759378,46.33765278926572,-0.033287060628957255,40.440000000000055,19.960000000000036,20.480000000000018,40.440000000000055,44.42285714285715
54,2024-01-17,3229.08,3291.14,3291.14,3229.08,-71.79,1.88,0.3516,0.008658,0.006229928,0.005432387,3325.3535,49.77440848203871,3424.9023169640777,3225.8046830359226,36.12734702322452,-0.05888181958608152,62.059999999999945,9.740000000000236,71.80000000000018,71.80000000000018,47.29428571428574
55,2024-01-18,3274.73,3214.28,3279.25,3171.63,45.65,3.33,0.5653,0.036270927,0.012144351,0.006928289,3324.215,50.6969015455165,3425.608803091033,3222.821196908967,30.26007398413016,-0.03296174347010794,107.61999999999989,50.17000000000007,57.44999999999982,107.61999999999989,48.39642857142859
56,2024-01-19,3269.78,3261.24,3286.94,3251.81,-4.95,1.07,0.383,0.013776615,0.014263593,0.007350716,3321.1604999999995,52.09587391228033,3425.35224782456,3216.968752175439,26.448862806925376,-0.03212266524583374,35.13000000000011,12.210000000000036,22.920000000000073,35.13000000000011,49.2657142857143
57,2024-01-22,3218.9,3262.47,3281.42,3193.18,-50.87,2.7,0.4806,0.028762143,0.019162261,0.008476925,3315.244,56.691456276381125,3428.6269125527624,3201.861087447238,25.98456816682446,-0.038287447154957355,88.24000000000024,11.639999999999873,76.60000000000036,88.24000000000024,52.37142857142859
58,2024-01-23,3231.93,3208.43,3249.53,3188.13,13.03,1.91,0.3943,0.018093278,0.021112193,0.008882375,3309.468,59.072326640626095,3427.612653281252,3191.323346718748,29.303469924493044,-0.029190984977967127,61.40000000000009,30.63000000000011,30.769999999999982,61.40000000000009,54.60071428571431
59,2024-01-24,3277.11,3245.96,3281.49,3190.47,45.18,2.82,0.4988,0.022324414,0.023845476,0.009483459,3307.0840000000003,59.38272967082155,3425.8494593416435,3188.318540658357,40.48538934537737,-0.0027236264706060886,91.01999999999998,49.559999999999945,41.460000000000036,91.01999999999998,57.21357142857145
60,2024-01-25,3342.92,3274.34,3344.24,3269.79,65.81,2.27,0.636,0.009175251,0.01842634,0.009804905,3307.4120000000003,59.570765578250914,3426.5535311565022,3188.2704688434983,51.6622132351171,0.015313591495823786,74.44999999999982,67.12999999999965,7.320000000000164,74.44999999999982,58.317857142857164
61,2024-01-26,3333.82,3326.65,3351.97,3315.13,-9.1,1.1,0.5837,0.008527794,0.017376576,0.010077354,3303.376,54.44458035953885,3412.265160719078,3194.4868392809226,56.260158339013294,0.01729867292417442,36.83999999999969,9.049999999999727,27.789999999999964,36.83999999999969,57.36500000000001
62,2024-01-29,3303.96,3335.39,3351.37,3303.96,-29.86,1.42,0.5951,0.013912691,0.014406686,0.010522145,3297.0184999999997,45.41970616547233,3387.857912330944,3206.179087669055,51.415234143449915,0.0025154217503573495,47.409999999999854,17.549999999999727,29.860000000000127,47.409999999999854,58.55428571428573
63,2024-01-30,3245.04,3283.9,3300.2,3244.97,-58.92,1.67,0.4641,0.01363035,0.0135141,0.010769373,3289.953,41.62442743086445,3373.201854861729,3206.704145138271,46.42196106415716,-0.011914730358050907,55.23000000000002,3.7600000000002183,58.99000000000024,58.99000000000024,59.57714285714288
64,2024-01-31,3215.35,3231.54,3252.15,3201.93,-29.69,1.55,0.4948,0.016716899,0.012392597,0.011375425,3281.8055,39.30451045162644,3360.4145209032527,3203.196479096747,41.261586666086416,-0.019985248040183867,50.220000000000255,7.110000000000127,43.11000000000013,50.220000000000255,59.99857142857146
